model,data_regime,epoch,layer,grad_norm
efficientnet_b0,100%,2,blocks.0.0.bn1.weight,0.025654446333646774
efficientnet_b0,100%,2,blocks.0.0.bn1.bias,0.0080089271068573
efficientnet_b0,100%,2,blocks.0.0.se.conv_reduce.weight,0.08683334290981293
efficientnet_b0,100%,2,blocks.0.0.se.conv_reduce.bias,0.003308619139716029
efficientnet_b0,100%,2,blocks.0.0.se.conv_expand.weight,0.025877876207232475
efficientnet_b0,100%,2,blocks.0.0.se.conv_expand.bias,0.014705813489854336
efficientnet_b0,100%,2,blocks.0.0.conv_pw.weight,0.10188155621290207
efficientnet_b0,100%,2,blocks.0.0.bn2.weight,0.009786635637283325
efficientnet_b0,100%,2,blocks.0.0.bn2.bias,5.668143785442226e-07
efficientnet_b0,100%,2,blocks.1.0.conv_pw.weight,0.12445976585149765
efficientnet_b0,100%,2,blocks.1.0.bn1.weight,0.01013865601271391
efficientnet_b0,100%,2,blocks.1.0.bn1.bias,0.007645695004612207
efficientnet_b0,100%,2,blocks.1.0.conv_dw.weight,0.08750012516975403
efficientnet_b0,100%,2,blocks.1.0.bn2.weight,0.009881886653602123
efficientnet_b0,100%,2,blocks.1.0.bn2.bias,0.006889279466122389
efficientnet_b0,100%,2,blocks.1.0.se.conv_reduce.weight,0.18185921013355255
efficientnet_b0,100%,2,blocks.1.0.se.conv_reduce.bias,0.004837246611714363
efficientnet_b0,100%,2,blocks.1.0.se.conv_expand.weight,0.03954066336154938
efficientnet_b0,100%,2,blocks.1.0.se.conv_expand.bias,0.007836650125682354
efficientnet_b0,100%,2,blocks.1.0.conv_pwl.weight,0.1402934491634369
efficientnet_b0,100%,2,blocks.1.0.bn3.weight,0.010593753308057785
efficientnet_b0,100%,2,blocks.1.0.bn3.bias,7.620531050633872e-07
efficientnet_b0,100%,2,blocks.1.1.conv_pw.weight,0.12808984518051147
efficientnet_b0,100%,2,blocks.1.1.bn1.weight,0.012297876179218292
efficientnet_b0,100%,2,blocks.1.1.bn1.bias,0.011531834490597248
efficientnet_b0,100%,2,blocks.1.1.conv_dw.weight,0.09097961336374283
efficientnet_b0,100%,2,blocks.1.1.bn2.weight,0.015507534146308899
efficientnet_b0,100%,2,blocks.1.1.bn2.bias,0.0077294474467635155
efficientnet_b0,100%,2,blocks.1.1.se.conv_reduce.weight,0.03890276700258255
efficientnet_b0,100%,2,blocks.1.1.se.conv_reduce.bias,0.003061216324567795
efficientnet_b0,100%,2,blocks.1.1.se.conv_expand.weight,0.047147348523139954
efficientnet_b0,100%,2,blocks.1.1.se.conv_expand.bias,0.006884418893605471
efficientnet_b0,100%,2,blocks.1.1.conv_pwl.weight,0.11474177241325378
efficientnet_b0,100%,2,blocks.1.1.bn3.weight,0.00944253895431757
efficientnet_b0,100%,2,blocks.1.1.bn3.bias,5.992619662720244e-07
efficientnet_b0,100%,2,blocks.2.0.conv_pw.weight,0.16985106468200684
efficientnet_b0,100%,2,blocks.2.0.bn1.weight,0.018595492467284203
efficientnet_b0,100%,2,blocks.2.0.bn1.bias,0.02303502894937992
efficientnet_b0,100%,2,blocks.2.0.conv_dw.weight,0.13517682254314423
efficientnet_b0,100%,2,blocks.2.0.bn2.weight,0.029654301702976227
efficientnet_b0,100%,2,blocks.2.0.bn2.bias,0.012211169116199017
efficientnet_b0,100%,2,blocks.2.0.se.conv_reduce.weight,0.07807660102844238
efficientnet_b0,100%,2,blocks.2.0.se.conv_reduce.bias,0.003305959515273571
efficientnet_b0,100%,2,blocks.2.0.se.conv_expand.weight,0.04635811224579811
efficientnet_b0,100%,2,blocks.2.0.se.conv_expand.bias,0.007256201468408108
efficientnet_b0,100%,2,blocks.2.0.conv_pwl.weight,0.17323260009288788
efficientnet_b0,100%,2,blocks.2.0.bn3.weight,0.007295876741409302
efficientnet_b0,100%,2,blocks.2.0.bn3.bias,4.547956393707864e-07
